name,latitude,longitude,address,rating,review
D''Walik,-7.8163681,110.3866164,"Jl. Veteran No.150-151, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161, Indonesia",4.5,"Wow!!! Everything is upside down. Your friends will be amazed to see you having magic to be not affected by gravity! It is full of creativity and fun to be there.

If you are confused how to pose in a studio of this museum, you may see a photo pasted in every studio giving the pose suggestion. Your ability to creatively pose for photos is challenged here.

However, the space between studios is too close. It makes difficulty in taking pictures when the studio across yours is being occupied.

Enjoy D''Walik. Enjoy Yogyakarta! - We like this place. So creative. They put stuff upside down and we can take picture as many as we can. But don’t come during school holiday or weekend, you’ll be wasting time waiting for other people taking pics, and you would feel awkward when people waiting for you and watching you. - An interesting place for photo shooting! We have so much fun there :) worth to go! - Recommended place for photo, very artistic. Penjaganya ramah & helpful - Kreatif....nice place to take a picture"
Wisata Kalibiru,-7.8074219,110.1292682,"Jalan Waduk Sermo, Kalibiru, Hargowilis, Kec. Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653, Indonesia",4.4,"An excellent place for taking pictures. The entry ticket is IDR 20.000/- per person. There are various types of places inside for taking pictures like the rope bridge, flying fox, golf spot.... The staffs are helpful and provides you the safety gear and helps freely.
We actually lost our car keys there and every staff helped us in finding that!
Its a personal best choice at Yogyakarta 👌🏻 - The spot isn''t large, but the view is amazing. We visited this place passing a dam called Waduk Sermo, climbing up a hill with very steep and narrow road. After quite long climb...we reached the top and as I had expected (I saw the pics on Google) we saw a beautiful dam surrounded by green carpet all over the hill. - Love the place though the area is not big and it is far from anywhere. It is actually a lookout with a view to Waduk Sermo and its surrounding.
The scenery is a good and the air is fresh.
There are three ''main'' photo spots, you need to pay for each spot or have a ''package'' for all three spots - the photo spot fee is per person. The photographer can help to take photos by using their DSLR with price per picture that you want (e.g. can take 10 photos but only take 2-3 photos). You pay only the photos that you want and the pictures will be copied to your handphone by cable data. The photo spot and the DSLR''s photo fee are ''cheap'' for a tourist area. - The views are beautiful, especially during morning sun. Big and tall trees around. A view of a reservoir might be the best part. Many spots for photoshoots. Either free or paid and taken by a photographer.

But to get here is a struggle itself. The road is too steep and narrow. No clear sign that direct you to the place. Be careful because side by side is deep cliffs. The trip itself is also an amazing journey.

Parking lot is also a problem during peak season. Not really enough to accommodate visitors because it is too narrow. - Nice Place Good View... in this pandemic situation this place running the health protokol. Before entering the entry gate, all visitors must wash their hand and wear mask all the time...
Not too many visitors during the pandemic...

The entry fee are :
Rp. 10.000,- for domestic tourist
Rp. 20.000,- for foreign tourist

Please prepare your vehicle because the route are little bit difficult..."
Bukit Bintang,-7.8458407,110.4798457,"Area Kebun, Srimulyo, Patuk, Gunung Kidul Regency, Special Region of Yogyakarta 55792, Indonesia",4.5,"The view was very nice as shown in the picture, you could see the Jogja City from above. We went there at night and managed to take some good pictures.

Something to take note of, the place consists of several small stalls and the good place to take pictures is at the side, so you can see to the bottom. We''re quite lucky to get a side place. Without waiting for too long. But the side place might not be very good to chill, since a lot of other people are waiting.

The location is quite far, and it might be quite difficult to find a way back to the city. We suggest going there with your own vehicle

As for the food I think it''s not very good, but people come here for the view, not the food. It does over a wide variety of food and snacks - This was the view from one of the cafe there🌃 Nice weather will give you mesmerizing twilight, and starry citylights✨ So really consider the weather, because it couldnt be enjoyable in the rain season.
This local tourist spot, not offering any english speaker or tourism help so far. Prices are in tourist prices. For foreigner, I recommend you to go with locals, and be humble because the services also ""locally"" standard. - Bukit Bintang is very comfortable for relaxing, relaxing the mind, the delicious food menu, the waiters are also very friendly - Great view. Thats it.
Food taste is mediocre, parking space for car is limited, no road lamp make going there at night really challenging. Is it worth it? For the view, maybe. But a lot more attraction in Jogja better than just seeing Jogja at night, in my opinion :D

If local government give more attention to detail AND safety facility, I will change the review to 5. - Good view, nice food, please ask price before order"
Wisata Kali Gajah Wong Mrican Giwangan,-7.8311337,110.3941846,"599V+GMV, Mrican, Giwangan, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55163, Indonesia",4.6,"Great place to chill at evening before sunset. No entrance fee. just parking fee (i rode motorcycle and only paid 2000)

highly recommended

oh and there is an owl. my kid loves playing with the owl and takes picture. the fee to take picture with owl is voluntary and the owl handler is so kind and friendly - This place is kids friendly. It is located near to Giwangan bus stop. Car and motorcycles can cross this road even though it is quite small. There are some culinary too. Visitors can buy fish food with IDR5000. Don''t forget to see your kids whenever they stand alongside the river. - Nice small place . Just much suitable for people in same area . Not Recommended for visitors from others cities or foreigners because I think there is nothing especial - Nice place for family time, free entrance, easy access from downtown... inspiring tourism concept. - Me and my friend were more accurately lost but like finding treasure haha. Yes we found this place! Very crowded on holidays, but it''s okay to just find entertainment by feeding the fish. There are also food and drink stands here, there are prayer rooms and clean toilets."
Puncak Gunung Api Purba (Nglanggeran),-7.841253,110.543056,"5G5V+F6V, Nglanggeran Wetan, Nglanggeran, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862, Indonesia",4.7,"Good place to start your day feeling energized. The track is beginner friendly!! If you are not someone who likes to hike, you should try hike here. Just bring your water bottles and little snacks with you to enjoy at the top. Great sceneries as well.

Best time to visit is early in the morning when no one’s here yet. You could enjoy at your best. My advice for you is just be mindful of your shoes. Choose ones with the non-slippery shoes/sandals. - Worth to visit if you wish to have tracking but limited time.
The track is fine for newbies since the paths are clear and the track is well built. The view on top is so beautiful, I can see the scenery of the South at 360°.
On the down track, I found the cocoa tree as the plantain.
For the registration ticket, we need to pay 5k or 7k (forgot the exact price). - Thanks God for giving the experience to hike gunung Api Purba with my brother and my pet ''zavier'' ,
we started to hike after praying fajr through mist and darkness, and reached the top at half and hour  of our journey, while waiting for sunrise we take some photo moments and cooking our breakfast, and the rest is just... may Allah always blessing our journeys experience with faith and obedience. - The mountain is so beautiful, we can hike for about 2 km, and on the top we can see beautiful view like sunset/sunrise - Friendly for toddler who have been into adventure before.
Beginners welcome track.
Access is good with made pavements.
View amazing"
Kampung Wisata Sosromenduran,-7.79219,110.362151,"001, Jl. Sosrowijayan No.69, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271, Indonesia",4.1,"Nice trip - just only for event - Good - Nice - The city center tourist village as a buffer for the Malioboro tourist area, 5 minutes walk to Malioboro, there are many homestays and hotels as well as tours and travel"
Titik Nol Kilometer Yogyakarta,-7.8013966,110.3647641,"Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",4.8,"I think that visiting this iconic place in workdays will give you more space to take pictures as many as you want 😁✌️
This public area has improved significantly compared to the last time I visited it years ago  and it''s really impressive!
It''s very enjoyable, recommended - Last time, i came to Prambanan for Jogja Marathon event, so I can swear to you that sunrise in Prambanan is not a bad idea. But, over all, Prambanan is recommended place if you love heritage spot. - It was not too crowded when I went there because it was not a national holiday but just another weekend, great to take pictures because u will have the background view like colonial-era-building. - nice place to spend your holiday at yogya, it has a lot of destination. i don''t know is there any food/drink, but it''s allowed for ojek online to drop passengers. maybe some day I''ll try to travel there by trans jogja/teman bus - It''s the one of the famous landmark in Yogya. You can hang out here with your family or beloved ones, while enjoying the atmosphere of Jogja City."
Jomblang Cave,-8.0281562,110.6383307,"Jetis, Pacarejo, Semanu, Gunung Kidul Regency, Special Region of Yogyakarta 55893, Indonesia",4.6,"Jomblang Cave, uniquely amazing and adventure vertical cave. Best time visit morning before 10am, where you can witness a ray of illumination light shines into the cave before noon. - Very beautiful cave. The operator only start the exploration 1 time a day, at 9.30am - It’s privately owned, but very well organised, and I can see that the team has safety at priority too, and equipments r good. So well worth the price for this! Very interesting and unique cave. Was able to capture the splattering sunlight. - I have mixed feelings about this tourist attraction. On the one hand, it''s well maintained and the guides are friendly and experienced. I felt really safe in their hands. on the other hand the experience was really underwhelming- it was awesome when they lowered us down into the cave (so exciting!), then we had to wait 30 minutes for them to lower everyone (boring). Then only the trek into the cave could begin. The trek in was about 15 minutes. The ""heaven''s light"" experience was cool but it wears off after 10 minutes of intense photo taking. We wanted to leave but were told we had to stay in the cave for another 45 minutes because ""that''s how long the tour lasts"" (boring!). Then when we got out, it took another 45 minutes to hoist everyone back out the cave (so so boring). In conclusion, I felt like the drive and the waiting time made up 90% of this entire experience. It should have been better organized to allow batches of people in and out of the cave, instead of doing every step as a big giant group. - First of all, its not a recreation for family with kids (5 y.o below)
(in my opinion)
You will go to a vertical cave, around 1 km diameter and 60 meter below.
Provider do it very well and safe.
Check my photos for details safety equipment.
Then you will track through dark and muddy horizontal cave, around 300 m so you will see a hole, huge with beautiful heavenly light.
Bring flashlight would be much better."
Becici Peak,-7.9020355,110.4374627,"Gunungcilik, RT.07/RW.02, Gn. Cilik, Muntuk, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783, Indonesia",4.5,"An amazing place to take a short escape, to take a breather to enjoy the nature. Tall trees and high view of the Yogyakarta city could be enjoyed here. With some photo spots and small and cheap warungs you can feed yourself and your family. - This is a large pine park for family recreation and camping on a hill in Muntuk, Dlingo District, Bantul Regency, Yogyakarta Special Region with various photo platforms, with beautiful night view down to the lights below. There are food shops offering various dishes (some open for 24 hrs. to serve the campers). Clean toilets and musholla (moslem prayer place). Inexpensive admission. Spacious parking lot. - Amazing atmosphere for spend and enjoy your time with nature and pine forest! - The place which can enjoy Jogja from 3rd floor. Good vibe for healing & clean air. entrance fee: Rp.5000/pax; car parking Rp.5000. There are toilets (for normal&difabel) - One of recommended place to visit. Sunset and sunrise are the best time to visit. The parking lot are spacious. Make sure your vehicles in a good condition coz some roads are very steep. You can ask local people which roads is the best to go to becici peak."
Mojo Gumelem Hill,-7.9573641,110.4334354,"2CVM+393, Kanigoro, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783, Indonesia",4.3,"Another good spot for enjoy the good view of the hill. There are a lot of props that can be used for taking instagrammable pics. Entry fee is very cheap. While the road to get here is quite challenging ..it is still worth to visit. - This place located on Mangunan, famous by it''s perfect spots to enjoy sunset or sunrise. You can''t get sunrise moment here, but the fog is so perfect here. The roads rough, haven''t been fixed. This placsle is so calm. They facilitated some benches and place for taking rest. There''s few spot with perfect background for your photos. - Very nice view. You have to come very early in the morning to have the clouds view in between the hills.  Instagram worth. - So nice view from this place
Parking is cheap
Motorcycle is only Rp. 2.000
To take pic,you should pay only Rp. 3.000 per spot
Only 4 spots pic that pay (sunflower, egg, sakura egg, and bird nest), and free for other spots
Total spot pic place is 12
In this place also has a pro photographer if you want to take pic use dslr camera
Rp. 10.000 per 5 pics
This place has some food courts too with traditional indonesian food, also drink and ice cream with cheap price too
So don''t worry bout money coz you don''t need spend alot money here - Best visit in the dawn to catch sunrise moment.. easy to reach by car"
Bukit Lintang Sewu,-7.9157997,110.4366436,"Karang Asem, Muntuk, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783, Indonesia",4.5,"The place is incredible , beautiful and quite.. you can take camp in there - It is a long drive on an adventurous road if you are coming from Yogyakarta. But if you like a quiet spot in nature it is worth coming here. On weekdays it is usually not crowded and very enjoyable. There are photo spots available and some may like those. But the view over the valley is probably the best. You may also find a lot of butterflies if you visit. Sturdy shoes might be of benefit. - Great service...view city light at night, sleep tight and feel the fresh and quiet morning... - It is a nice place to visit during weekdays. We were there on Tuesday which is perfect, because it was not crowded. It was well maintained site with a very reasonable price 👍🏼👍🏼👍🏼 - A good place to visit if breathtaking view is your thing. They also have a camping ground with several semi permanent dome tents by the cliff, overloking the valley below.

Toilets are quite good, but the maintenance could be improved."
The Lost World Castle,-7.6041648,110.4510042,"Jl. Petung Merapi, Petung, Kepuharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583, Indonesia",4.3,"Totally, it''s worth to spend weekend in here with friends and family. There are many things to see, good spots for the pictures and we can see the view of Merapi mountain clearly.
Huge space and of course crowded as well. A good try to visit. - A small theme park with variation of unique buildings. Offers nothing except man made structure. You need to pay for every little thing excluding the ticket you need to pay to come inside. The unfinished part of the park is not well secured, thus making it dangerous for children to wander around - This place was reminded us about merapi eruption in 2006 and 2010.
The collection is about the things left when merapi erupted.
You will told what happened in 2006 and 2010

Entry ticket: the tour Will be included when you reserve the lava tour ( about Rp. 500.000/ Jeep with 4 people max per jeep.) You will get about 4 places to visit with the jeep) - IG : @thelostworldcastle
.
location : Jl. Petung Merapi, Petung, Kepuharjo, Kec. Cangkringan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55583

.
opening hours :7am - 6pm
.
food and beverages : snacking and drink
.
recommended f&b :
.
range price : entry ticket 30k per person
.
facilities :
wifi
toilet
spot photo
chair
table
etc
.
others :
1. kids friendly
2. family place
3. nice place to chill
4. instagramble place
5. cozy and fun place - When I visited, the place was still under construction. Not very attractive. Hopefully the construction will finish quickly"
Hutan Pinus Asri,-7.9209209,110.4355651,"3CHP+J6P, Jl. Hutan Pinus Nganjir, Sukorame, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783, Indonesia",4.5,"Dirty. Lots of broken stairs. Garbage everywhere. The nature view was nice. - Great place to experience a nice pine forest environment. Although the uphold needs attention and it could be more profitable with better infrastructure and facilities. Hutan Pinus Pengger seems to run better due to the better infrastructure and being closer to the city. - Fresh air 👍🏻

Free spot for taking pictures.
Nice view - This is perfect destination! Every spot in here is so instagramable.. Besides that,  you can enjoy the scenery,  the air and the atmosphere.. Eventhough you go there in the daylight, you enjoy to be here..  There are many wood seat.. There are many photos spot..I love this pines forest so much..  I hope I will go there in other time, Amin.. - I spent 7500 IDR for 2 tickets and parking fee. I came at 7.30 am and there was only a few people. It was a little bit scary because the place is so quiet and the massive fog came out. However, the place is really good. The air so refreshing, the scenery so breathtaking. A perfect place to relieve your stress."
